SHIPMENT ID,ORIGIN_CITY,OST,O_ZIP,DEST_CITY,DST,D_ZIP,CLASS,WEIGHT,CUBE,RETAIL SHIPMENT FLAG,LIFTGATE FLAG,Carrier 1,Carrier 2,Carrier 3,Carrier 4,Carrier 5,Carrier 6,Carrier 7,Carrier 8,Carrier 9,Carrier 10,Carrier 11,Carrier 12,Carrier 13,Carrier 14,Carrier 15,Carrier 16,,,,,,,,,,,,,,,,,
100000011,DRESDEN                    ,TN,38225 ,HOUSTON                    ,TX,77005 ,175, 177 , 40.23 , Non-Retail , Liftgate Needed ,$275.90,$188.32,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$265.66,$0.00,$293.24,$0.00,$142.79,,,,,,,,,,,,,,,,,
100000012,DRESDEN                    ,TN,38225 ,KITTERY                    ,ME,03904 ,70, 885 , 76.29 , Non-Retail , Non-Liftgate ,$761.36,"$4,020.72",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$765.54,$984.49,$410.64,$0.00,$271.36,,,,,,,,,,,,,,,,,
100000013,DRESDEN                    ,TN,38225 ,CHERRY HILL                ,NJ,08002 ,70, 688 , 53.33 , Non-Retail , Non-Liftgate ,$284.64,"$2,620.07",$280.43,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$517.52,$665.41,$308.00,$0.00,$160.52,,,,,,,,,,,,,,,,,
100000014,DRESDEN                    ,TN,38225 ,MILWAUKEE                  ,WI,53226 ,70, 535 , 57.53 , Non-Retail , Non-Liftgate ,$247.23,$286.77,$182.36,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$404.58,$0.00,$282.14,$0.00,$140.13,,,,,,,,,,,,,,,,,
100000015,DRESDEN                    ,TN,38225 ,WOODLAND HILLS             ,CA,91367 ,70, 270 , 28.72 , Non-Retail , Non-Liftgate ,$324.75,"$1,838.61",$238.54,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$312.15,$0.00,$333.07,$0.00,$230.32,,,,,,,,,,,,,,,,,
100000016,HICKORY                    ,NC,28602 ,CHICAGO                    ,IL,60642 ,70, 245 , 28.82 , Non-Retail , Non-Liftgate ,$337.45,$158.59,$166.39,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$223.74,$0.00,$240.21,$0.00,$199.11,,,,,,,,,,,,,,,,,
100000017,CONOVER                    ,NC,28613 ,WILMER                     ,TX,75172 ,250, 86 , 29.66 , Non-Retail , Non-Liftgate ,$250.77,$163.27,$196.59,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$230.33,$0.00,$265.29,$159.77,$163.98,,,,,,,,,,,,,,,,,
100000018,WINCHESTER                 ,VA,22603 ,EAST WINDSOR               ,NJ,08512 ,150, 168 , 36.52 , Retail , Non-Liftgate ,$208.50,"$1,296.83",$154.91,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$254.04,$157.28,$246.61,$0.00,$0.00,,,,,,,,,,,,,,,,,
100000019,NORTHAMPTON                ,PA,18067 ,EAST WINDSOR               ,NJ,08512 ,175," 1,650 ", 305.56 , Retail , Non-Liftgate ,$672.95,$0.00,$0.00,$0.00,$0.00,$0.00,$135.20,$0.00,$0.00,$0.00,$0.00,"$1,347.09",$548.93,$435.72,$0.00,$445.92,,,,,,,,,,,,,,,,,
100000020,GREENCASTLE                ,PA,17225 ,EAST WINDSOR               ,NJ,08512 ,70," 5,405 ", 281.51 , Retail , Non-Liftgate ,$513.78,"$6,933.23",$0.00,$0.00,$0.00,$0.00,$489.32,$0.00,$0.00,$0.00,$0.00,"$1,408.44",$717.20,$346.39,$0.00,$0.00,,,,,,,,,,,,,,,,,
100000021,SOUTH PITTSBURG            ,TN,37380 ,NAPERVILLE                 ,IL,60540 ,70," 6,131 ", 312.81 , Non-Retail , Non-Liftgate ,$715.97,"$1,151.45",$857.95,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,624.40",$0.00,$596.03,$0.00,$495.36,,,,,,,,,,,,,,,,,
100000022,LOS ANGELES                ,CA,90040 ,NAPERVILLE                 ,IL,60540 ,125," 2,761 ", 383.47 , Non-Retail , Non-Liftgate ,"$1,114.54",$0.00,"$1,705.93",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,721.38","$2,974.65",$0.00,"$1,878.26",$0.00,$0.00,,,,,,,,,,,,,,,,,
100000023,EARLY BRANCH               ,SC,29916 ,NAPERVILLE                 ,IL,60540 ,70, 939 , 77.60 , Non-Retail , Non-Liftgate ,$321.96,$461.01,$242.10,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$650.39,$0.00,$283.17,$0.00,$0.00,,,,,,,,,,,,,,,,,
100000024,BALDWIN PARK               ,CA,91706 ,NAPERVILLE                 ,IL,60540 ,175," 1,365 ", 252.78 , Non-Retail , Non-Liftgate ,"$1,160.54",$0.00,$964.64,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,420.36","$2,452.56",$0.00,"$1,616.29",$0.00,$0.00,,,,,,,,,,,,,,,,,
100000025,WINCHESTER                 ,VA,22603 ,EAST WINDSOR               ,NJ,08512 ,70," 3,665 ", 263.67 , Retail , Non-Liftgate ,$421.05,"$7,054.01",$319.70,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,338.02",$562.74,$362.56,$0.00,$0.00,,,,,,,,,,,,,,,,,
100000026,EPHRAIM                    ,UT,84627 ,TRACY                      ,CA,95304 ,70," 6,388 ", 325.92 , Retail , Non-Liftgate ,$879.66,$0.00,$779.06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,999.91","$2,565.45",$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,
100000027,EPHRAIM                    ,UT,84627 ,TRACY                      ,CA,95304 ,70, 815 , 68.49 , Retail , Non-Liftgate ,$367.22,$0.00,$213.37,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,200.99",$602.48,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,
100000028,ROCK HILL                  ,SC,29730 ,EAST WINDSOR               ,NJ,08512 ,70, 550 , 50.46 , Retail , Non-Liftgate ,$250.77,"$1,742.67",$170.62,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$340.00,$449.59,$278.74,$0.00,$134.69,,,,,,,,,,,,,,,,,
100000029,ROMEOVILLE                 ,IL,60446 ,TRACY                      ,CA,95304 ,110, 285 , 42.54 , Retail , Non-Liftgate ,$467.32,"$2,696.43",$290.58,$694.10,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$484.40,$0.00,$480.85,$0.00,$239.37,,,,,,,,,,,,,,,,,
100000030,IRVING                     ,TX,75061 ,NAPERVILLE                 ,IL,60540 ,70, 840 , 73.68 , Non-Retail , Liftgate Needed ,$307.03,$486.10,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$727.14,$0.00,$0.00,$685.75,$0.00,$287.77,$797.15,$207.35,,,,,,,,,,,,,,,,,
100000031,SANTA CLARITA              ,CA,91355 ,EAST WINDSOR               ,NJ,08512 ,70, 164 , 20.50 , Retail , Non-Liftgate ,$347.32,$0.00,$221.11,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$279.16,$312.15,$404.73,$323.27,$0.00,$267.87,,,,,,,,,,,,,,,,,
100000032,CHATSWORTH                 ,CA,91311 ,TRACY                      ,CA,95304 ,70, 280 , 32.56 , Retail , Non-Liftgate ,$332.07,$0.00,$168.32,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$167.23,$0.00,$0.00,$445.01,$0.00,$0.00,,,,,,,,,,,,,,,,,
100000033,CHATSWORTH                 ,CA,91311 ,TRACY                      ,CA,95304 ,300, 130 , 76.47 , Retail , Non-Liftgate ,$332.07,$0.00,$177.54,$0.00,$0.00,$0.00,$0.00,$106.56,$0.00,$0.00,$167.23,$281.13,$0.00,$445.01,$0.00,$0.00,,,,,,,,,,,,,,,,,
100000034,SANTA CLARITA              ,CA,91355 ,TRACY                      ,CA,95304 ,175, 354 , 72.24 , Retail , Non-Liftgate ,$417.48,$0.00,$234.87,$0.00,$0.00,$0.00,$0.00,$106.56,$0.00,$0.00,$226.65,$439.37,$0.00,$445.01,$0.00,$160.69,,,,,,,,,,,,,,,,,
100000035,HENDERSON                  ,NC,27537 ,NAPERVILLE                 ,IL,60540 ,250," 2,700 ", 771.43 , Non-Retail , Liftgate Needed ,"$1,412.56","$2,948.14","$1,423.52",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,159.07",$0.00,"$1,528.96",$0.00,"$1,235.82",,,,,,,,,,,,,,,,,
100000036,NEWTON                     ,NC,28658 ,NORTHBROOK                 ,IL,60062 ,150, 331 , 67.55 , Non-Retail , Non-Liftgate ,$337.45,$384.91,$182.34,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$543.02,$0.00,$240.21,$0.00,$161.35,,,,,,,,,,,,,,,,,
100000037,TRACY                      ,CA,95304 ,ATLANTA                    ,GA,30318 ,125, 400 , 61.54 , Non-Retail , Liftgate Needed ,$652.81,$0.00,$502.27,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$524.44,$838.58,$0.00,$425.40,$0.00,$423.75,,,,,,,,,,,,,,,,,
100000038,TRACY                      ,CA,95304 ,SANTA BARBARA              ,CA,93108 ,125, 800 , 115.94 , Non-Retail , Liftgate Needed ,$332.07,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$243.92,$691.38,$0.00,$406.91,$0.00,$207.98,,,,,,,,,,,,,,,,,
100000039,TRACY                      ,CA,95304 ,GREENWICH                  ,CT,06830 ,125, 700 , 101.45 , Non-Retail , Non-Liftgate ,$698.25,$0.00,$608.63,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$800.44,"$1,283.47","$1,926.77",$747.75,$0.00,$0.00,,,,,,,,,,,,,,,,,
100000040,TRACY                      ,CA,95304 ,NOYAC                      ,NY,11963 ,125, 600 , 88.24 , Non-Retail , Non-Liftgate ,$782.37,$0.00,$857.54,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$871.15,"$1,228.91","$3,622.22","$1,177.94",$0.00,$0.00,,,,,,,,,,,,,,,,,
100000041,TRACY                      ,CA,95304 ,SANTA MONICA               ,CA,90402 ,125, 700 , 101.45 , Non-Retail , Non-Liftgate ,$410.07,$0.00,$350.22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$213.08,$599.78,$0.00,$316.95,$0.00,$183.60,,,,,,,,,,,,,,,,,
100000042,TRACY                      ,CA,95304 ,SANTA BARBARA              ,CA,93108 ,125, 700 , 101.45 , Non-Retail , Non-Liftgate ,$332.07,$0.00,$236.46,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$215.68,$607.71,$0.00,$369.36,$0.00,$185.72,,,,,,,,,,,,,,,,,
100000043,TRACY                      ,CA,95304 ,GREENWICH                  ,CT,06830 ,125, 600 , 88.24 , Non-Retail , Non-Liftgate ,$599.64,$0.00,$524.25,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$688.67,"$1,103.25","$1,653.24",$644.28,$0.00,$0.00,,,,,,,,,,,,,,,,,
100000044,ATLANTA                    ,GA,30341 ,ROMEOVILLE                 ,IL,60446 ,55, 720 , 41.38 , Non-Retail , Liftgate Needed ,$286.14,$305.07,$149.18,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$430.38,$0.00,$231.59,$0.00,$140.90,,,,,,,,,,,,,,,,,
100000045,NORTH LAS VEGAS            ,NV,89030 ,BEVERLY HILLS              ,CA,90210 ,125, 486 , 73.64 , Non-Retail , Non-Liftgate ,$366.99,$0.00,$264.09,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$174.59,$299.42,$0.00,$238.76,$0.00,$0.00,,,,,,,,,,,,,,,,,
100000046,ST PETERSBURG              ,FL,33702 ,NAPERVILLE                 ,IL,60540 ,70, 313 , 33.66 , Non-Retail , Non-Liftgate ,$330.09,$226.04,$209.99,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$318.89,$0.00,$222.84,$0.00,$151.08,,,,,,,,,,,,,,,,,
100000047,BYHALIA                    ,MS,38611 ,NAPERVILLE                 ,IL,60540 ,70, 888 , 104.47 , Non-Retail , Non-Liftgate ,$311.71,$425.93,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$600.87,$0.00,$282.05,$0.00,$195.78,,,,,,,,,,,,,,,,,
100000048,DRESDEN                    ,TN,38225 ,TRACY                      ,CA,95304 ,65," 3,685 ", 169.82 , Retail , Non-Liftgate ,"$1,404.93","$13,623.09",$968.63,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,306.83",$0.00,"$1,762.22",$0.00,$905.45,,,,,,,,,,,,,,,,,
100000049,DRESDEN                    ,TN,38225 ,NEW YORK                   ,NY,10013 ,70, 460 , 60.53 , Non-Retail , Liftgate Needed ,$494.31,"$3,521.58",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$687.78,"$1,620.69",$615.51,$0.00,$492.71,,,,,,,,,,,,,,,,,
100000050,DRESDEN                    ,TN,38225 ,EAST WINDSOR               ,NJ,08512 ,70, 540 , 45.76 , Retail , Non-Liftgate ,$250.92,"$2,056.45",$285.04,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$406.20,$522.26,$278.74,$0.00,$145.44,,,,,,,,,,,,,,,,,
100000051,DRESDEN                    ,TN,38225 ,NEW YORK                   ,NY,10022 ,70, 157 , 20.39 , Non-Retail , Non-Liftgate ,$339.71,"$1,182.75",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$336.24,"$1,010.04",$441.15,$0.00,$463.55,,,,,,,,,,,,,,,,,
100000052,DRESDEN                    ,TN,38225 ,NAPERVILLE                 ,IL,60540 ,55, 938 , 48.85 , Non-Retail , Liftgate Needed ,$275.90,$260.09,$156.06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$366.93,$0.00,$265.29,$0.00,$128.84,,,,,,,,,,,,,,,,,
100000053,DRESDEN                    ,TN,38225 ,NAPERVILLE                 ,IL,60540 ,70, 286 , 32.13 , Non-Retail , Non-Liftgate ,$275.90,$152.50,$156.06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$207.20,$0.00,$265.29,$0.00,$128.84,,,,,,,,,,,,,,,,,
100000054,DRESDEN                    ,TN,38225 ,DENVER                     ,CO,80206 ,70, 175 , 21.60 , Non-Retail , Liftgate Needed ,$256.45,$842.87,$237.53,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$226.24,$0.00,$395.39,$0.00,$165.20,,,,,,,,,,,,,,,,,
100000055,MIAMI                      ,FL,33122 ,EAST WINDSOR               ,NJ,08512 ,70, 287 , 32.25 , Retail , Non-Liftgate ,$249.09,"$1,411.87",$203.11,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$290.15,$503.13,$228.06,$0.00,$150.26,,,,,,,,,,,,,,,,,
100000056,HICKORY                    ,NC,28602 ,CHICAGO                    ,IL,60642 ,70, 410 , 41.00 , Non-Retail , Non-Liftgate ,$337.45,$265.40,$166.39,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$374.41,$0.00,$240.21,$0.00,$199.11,,,,,,,,,,,,,,,,,
100000057,DULUTH                     ,GA,30096 ,MORRISVILLE                ,NC,27560 ,300, 165 , 91.67 , Non-Retail , Non-Liftgate ,$218.25,$247.81,$270.03,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$349.60,$0.00,$256.02,$0.00,$131.52,,,,,,,,,,,,,,,,,
100000058,RUTHERFORD                 ,NJ,07070 ,TRACY                      ,CA,95304 ,70, 127 , 17.16 , Retail , Non-Liftgate ,$395.27,$0.00,$322.09,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$312.15,$350.80,$435.21,$0.00,$269.46,,,,,,,,,,,,,,,,,
100000059,SAN FERNANDO               ,CA,91342 ,NAPERVILLE                 ,IL,60540 ,60," 1,200 ", 57.97 , Non-Retail , Non-Liftgate ,$380.08,$0.00,$341.95,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$440.30,$827.06,$0.00,$498.37,$0.00,$0.00,,,,,,,,,,,,,,,,,
100000060,EAST WINDSOR               ,NJ,08512 ,NAPERVILLE                 ,IL,60540 ,70, 420 , 42.00 , Non-Retail , Liftgate Needed ,$286.11,$0.00,$201.96,$0.00,$0.00,$0.00,$244.40,$0.00,$294.35,$0.00,$0.00,$328.65,$248.53,$252.75,$0.00,$139.28,,,,,,,,,,,,,,,,,
100000061,CLEVELAND                  ,OH,44139 ,NAPERVILLE                 ,IL,60540 ,125," 2,552 ", 354.44 , Non-Retail , Non-Liftgate ,$472.71,$0.00,$492.11,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,240.95",$0.00,$0.00,"$1,138.49",$965.44,$393.36,$0.00,$338.30,,,,,,,,,,,,,,,,,
100000062,CLEVELAND                  ,OH,44139 ,NAPERVILLE                 ,IL,60540 ,70," 1,129 ", 90.32 , Non-Retail , Liftgate Needed ,$244.98,$0.00,$166.39,$0.00,$0.00,$0.00,$0.00,$0.00,$500.10,$0.00,$0.00,$464.49,$393.93,$281.09,$0.00,$138.01,,,,,,,,,,,,,,,,,
100000063,LONG BEACH                 ,CA,90810 ,NAPERVILLE                 ,IL,60540 ,125, 886 , 126.57 , Non-Retail , Non-Liftgate ,$620.01,$0.00,$621.98,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$751.86,$0.00,$0.00,$792.71,$0.00,$686.39,,,,,,,,,,,,,,,,,
100000064,GREENFIELD                 ,IN,46140 ,NAPERVILLE                 ,IL,60540 ,70, 683 , 60.44 , Non-Retail , Non-Liftgate ,$465.65,$0.00,$105.57,$105.50,$0.00,$0.00,$0.00,$0.00,$332.27,$110.76,$0.00,$311.08,$0.00,$231.59,$0.00,$124.78,,,,,,,,,,,,,,,,,
100000065,CONNELLY SPRINGS           ,NC,28612 ,NAPERVILLE                 ,IL,60540 ,50, 665 , 26.28 , Non-Retail , Non-Liftgate ,$420.35,$273.16,$166.39,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$385.36,$0.00,$240.21,$0.00,$0.00,,,,,,,,,,,,,,,,,
100000066,ROCK ISLAND                ,IL,61201 ,NAPERVILLE                 ,IL,60540 ,70," 1,260 ", 82.89 , Non-Retail , Non-Liftgate ,$502.08,$258.12,$0.00,$105.50,$0.00,$0.00,$0.00,$0.00,$102.05,$132.07,$0.00,$364.15,$0.00,$198.28,$0.00,$123.44,,,,,,,,,,,,,,,,,
100000067,ROCK ISLAND                ,IL,61201 ,NEWTON                     ,NC,28658 ,125, 809 , 117.25 , Non-Retail , Non-Liftgate ,$381.18,$678.88,$368.51,$403.87,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$957.73,$0.00,$426.10,$0.00,$277.07,,,,,,,,,,,,,,,,,
100000068,ROCK ISLAND                ,IL,61201 ,WILMER                     ,TX,75172 ,175, 300 , 61.22 , Non-Retail , Liftgate Needed ,$553.19,$363.40,$355.75,$229.05,$0.00,$0.00,$0.00,$0.00,$540.39,$0.00,$0.00,$512.67,$0.00,$244.39,$0.00,$152.44,,,,,,,,,,,,,,,,,
100000069,PORTLAND                   ,OR,97203 ,NAPERVILLE                 ,IL,60540 ,70, 800 , 67.23 , Non-Retail , Non-Liftgate ,$286.11,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$431.17,$760.75,$0.00,$331.38,$0.00,$345.02,,,,,,,,,,,,,,,,,
100000070,ROCK HILL                  ,SC,29730 ,WILMER                     ,TX,75172 ,300, 300 , 157.89 , Non-Retail , Liftgate Needed ,$675.23,$681.02,$702.14,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$960.73,$0.00,$430.63,$462.68,$360.59,,,,,,,,,,,,,,,,,
100000071,DOWNERS GROVE              ,IL,60517 ,NAPERVILLE                 ,IL,60540 ,70," 5,690 ", 338.69 , Non-Retail , Non-Liftgate ,$416.59,$604.16,$334.74,$351.41,$0.00,$0.00,$0.00,$0.00,$237.33,$309.11,$0.00,$852.32,$0.00,$327.80,$0.00,$257.70,,,,,,,,,,,,,,,,,
100000072,CHICAGO                    ,IL,60607 ,NAPERVILLE                 ,IL,60540 ,150, 385 , 78.57 , Non-Retail , Liftgate Needed ,$297.07,$183.94,$146.80,$230.47,$0.00,$0.00,$0.00,$0.00,$95.02,$104.01,$0.00,$344.49,$0.00,$359.82,$0.00,$235.95,,,,,,,,,,,,,,,,,
100000073,CARLSTADT                  ,NJ,07072 ,NAPERVILLE                 ,IL,60540 ,70, 845 , 71.01 , Non-Retail , Liftgate Needed ,$286.11,$0.00,$210.49,$0.00,$0.00,$0.00,$244.40,$0.00,$384.70,$0.00,$0.00,$569.86,$423.67,$254.19,$0.00,$169.33,,,,,,,,,,,,,,,,,
100000074,LANCASTER                  ,OH,43130 ,NAPERVILLE                 ,IL,60540 ,70, 850 , 60.71 , Non-Retail , Non-Liftgate ,$244.98,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$409.97,$0.00,$0.00,$379.80,$0.00,$280.05,$0.00,$125.51,,,,,,,,,,,,,,,,,
100000075,WINCHESTER                 ,VA,22603 ,EAST WINDSOR               ,NJ,08512 ,150, 520 , 101.96 , Retail , Non-Liftgate ,$208.50,"$3,043.23",$173.55,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$607.12,$255.36,$246.61,$0.00,$0.00,,,,,,,,,,,,,,,,,
100000076,CARLSTADT                  ,NJ,07072 ,EAST WINDSOR               ,NJ,08512 ,50, 100 , 9.09 , Retail , Non-Liftgate ,$224.39,$0.00,$120.49,$0.00,$0.00,$0.00,$123.50,$0.00,$0.00,$0.00,$0.00,$157.22,$157.28,$225.71,$0.00,$126.78,,,,,,,,,,,,,,,,,
100000077,TRENTON                    ,NJ,08620 ,EAST WINDSOR               ,NJ,08512 ,70, 200 , 23.53 , Retail , Non-Liftgate ,$224.39,$0.00,$121.64,$0.00,$0.00,$0.00,$123.50,$0.00,$0.00,$0.00,$0.00,$157.22,$157.28,$205.07,$0.00,$126.78,,,,,,,,,,,,,,,,,
100000078,CLEVELAND                  ,OH,44139 ,NAPERVILLE                 ,IL,60540 ,175," 1,220 ", 225.93 , Non-Retail , Non-Liftgate ,$354.63,$0.00,$416.09,$0.00,$0.00,$0.00,$0.00,$0.00,$939.77,$0.00,$0.00,$876.88,$743.51,$292.24,$0.00,$260.55,,,,,,,,,,,,,,,,,
100000079,PECKVILLE                  ,PA,18452 ,ROMEOVILLE                 ,IL,60446 ,70, 174 , 28.52 , Non-Retail , Non-Liftgate ,$329.86,$0.00,$161.80,$0.00,$0.00,$0.00,$244.40,$0.00,$294.35,$0.00,$0.00,$226.24,$248.53,$296.25,$0.00,$142.56,,,,,,,,,,,,,,,,,
